Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,,
6/1/2016 1:00,133,19.84667,25.30001,35.575,11.93666,11.32834,10.6,12.8728,,,
6/1/2016 2:00,134,19.90001,25.29667,35.59999,11.45833,11.4,10.6,12.84174,,,
6/1/2016 3:00,135,19.90335,25.27835,35.57166,10.98333,11.4,10.6,12.80732,,,
6/1/2016 4:00,136,19.94667,25.30001,35.50334,10.53667,11.4,10.60333,12.7771,,,
6/1/2016 5:00,137,19.85,25.30001,35.59999,10.13667,11.32166,10.70001,12.76283,,,
6/1/2016 6:00,138,19.95001,25.30001,35.54667,9.814998,11.29999,10.70001,12.75191,,,
6/1/2016 7:00,139,19.90001,25.29667,35.525,9.490001,11.27167,10.70001,12.78381,,,
6/1/2016 8:00,140,19.90001,25.27835,35.52499,9.246674,11.20001,10.70001,12.85097,,,
6/1/2016 9:00,141,19.90335,25.30001,35.52833,9.309997,11.14666,10.70001,13.3731,,,
6/1/2016 10:00,142,19.92167,25.27502,35.57166,9.716666,11.09667,10.70001,13.43018,,,
6/1/2016 11:00,143,19.85001,25.24999,35.525,10.33,11,10.70001,13.38065,,,
6/1/2016 12:00,144,19.79666,25.29667,35.5,11.33667,10.94667,10.70001,13.35463,,,
6/1/2016 13:00,145,19.74666,25.25332,35.54999,12.38334,10.9,10.70001,13.3412,,,
6/1/2016 14:00,146,19.67167,25.27168,35.47501,13.27333,10.9,10.70001,13.33365,,,
6/1/2016 15:00,147,19.59665,25.24998,35.475,13.97,10.9,10.70001,13.32609,,,
6/1/2016 16:00,148,19.57166,25.22501,35.475,14.51333,10.9,10.70001,13.30762,,,
6/1/2016 17:00,149,19.40333,25.25335,35.47834,14.75,10.9,10.62167,13.29503,,,
6/1/2016 18:00,150,19.39334,25.25002,35.515,14.61833,10.92833,10.6,13.28664,,,
6/1/2016 19:00,151,19.275,25.30001,35.45,14.39333,11,10.6,13.28748,,,
6/1/2016 20:00,152,19.24667,25.22498,35.40668,14.24334,11.07833,10.6,13.14897,,,
6/1/2016 21:00,153,19.22834,25.27501,35.49334,13.99001,11.12834,10.6,13.06838,,,
6/1/2016 22:00,154,19.275,25.27168,35.45667,13.63667,11.20001,10.6,13.00375,,,
6/1/2016 23:00,155,19.3,25.22501,35.39668,13.18333,11.27833,10.6,12.95338,,,
6/2/2016 0:00,156,19.32834,25.22832,35.42167,12.655,11.29999,10.6,12.91477,,,
6/2/2016 1:00,157,19.29666,25.30001,35.40667,12.13667,11.35334,10.6,12.87447,,,
6/2/2016 2:00,158,19.27835,25.24665,35.45001,11.65834,11.4,10.62834,12.84761,,,
6/2/2016 3:00,159,19.29667,25.27835,35.475,11.23666,11.4,10.70001,12.82159,,,
6/2/2016 4:00,160,19.32167,25.24665,35.41835,10.88999,11.4,10.70001,12.78969,,,
6/2/2016 5:00,161,19.23166,25.27835,35.38167,10.565,11.4,10.70001,12.77878,,,
6/2/2016 6:00,162,19.34667,25.21831,35.45001,10.26501,11.32166,10.70001,12.76451,,,
6/2/2016 7:00,163,19.27167,25.25668,35.475,9.964999,11.29999,10.70001,12.82495,,,
6/2/2016 8:00,164,19.28166,25.29667,35.47167,9.803329,11.27167,10.70001,13.06838,,,
6/2/2016 9:00,165,19.32168,25.19999,35.45333,10.01,11.20001,10.70001,13.29587,,,
6/2/2016 10:00,166,19.3,25.20333,35.425,10.36333,11.14666,10.70001,13.52924,,,
6/2/2016 11:00,167,19.26834,25.27502,35.40001,10.81666,11.1,10.70001,13.41088,,,
6/2/2016 12:00,168,19.17167,25.21832,35.42168,11.42667,11.04667,10.70001,13.34792,,,
6/2/2016 13:00,169,19.125,25.15332,35.39667,12.17334,11,10.70001,13.31602,,,
6/2/2016 14:00,170,18.97501,25.17499,35.40668,12.92667,11,10.70001,13.29503,,,
6/2/2016 15:00,171,18.89334,25.14998,35.39334,13.69834,11,10.70001,13.28664,,,
6/2/2016 16:00,172,18.69666,25.175,35.35332,14.39166,11,10.70001,13.28664,,,
6/2/2016 17:00,173,18.62165,25.14666,35.37169,14.67834,11,10.70001,13.26397,,,
6/2/2016 18:00,174,18.46834,25.15333,35.42834,14.70001,11.05333,10.70001,13.25222,,,
6/2/2016 19:00,175,18.42168,25.14666,35.32499,14.725,11.10333,10.70001,13.20773,,,
6/2/2016 20:00,176,18.325,25.15,35.32502,14.61833,11.20001,10.70001,13.12295,,,
6/2/2016 21:00,177,18.35334,25.17499,35.34668,14.39333,11.22833,10.70001,13.03565,,,
6/2/2016 22:00,178,18.39668,25.17499,35.35003,14.13667,11.30333,10.70001,12.98696,,,
6/2/2016 23:00,179,18.30333,25.17499,35.30002,13.78666,11.4,10.70001,12.93911,,,
