Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
5/29/2016 17:00,98,23.16833,28.24668,36.27502,15.80667,10.70334,10.575,13.36051,,
5/29/2016 18:00,99,23,28.22833,36.25333,15.84333,10.80333,10.54667,13.40416,,
5/29/2016 19:00,100,23.025,28.27168,36.24667,15.53667,10.90333,10.5,13.32441,,
5/29/2016 20:00,101,23,28.22499,36.19998,15.13333,11.00333,10.5,13.12631,,
5/29/2016 21:00,102,22.97166,28.22832,36.25,14.555,11.10333,10.5,13.05411,,
5/29/2016 22:00,103,23.02834,28.21833,36.25002,13.955,11.20334,10.5,13.01718,,
5/29/2016 23:00,104,23.02833,28.19665,36.22831,13.44,11.29999,10.5,12.98696,,
5/30/2016 0:00,105,23.05,28.13166,36.275,13.14,11.32834,10.525,12.96094,,
5/30/2016 1:00,106,23.02167,28.27835,36.24667,12.86499,11.4,10.5,12.93743,,
5/30/2016 2:00,107,23,28.29668,36.19998,12.64333,11.4,10.57833,12.91141,,
5/30/2016 3:00,108,22.975,28.14999,36.25336,12.39,11.4,10.6,12.87867,,
5/30/2016 4:00,109,23.02499,28.12498,36.27169,12.04001,11.4,10.6,12.84845,,
5/30/2016 5:00,110,23.02833,28.14664,36.25,11.73666,11.4,10.6,12.83838,,
5/30/2016 6:00,111,23.04,28.14999,36.25002,11.38999,11.4,10.6,12.81152,,
5/30/2016 7:00,112,22.95667,28.14999,36.22834,11.14333,11.4,10.6,12.83334,,
5/30/2016 8:00,113,22.92499,28.17499,36.25,10.92167,11.4,10.6,12.93072,,
5/30/2016 9:00,114,23.02499,28.10332,36.24664,10.95333,11.37166,10.6,13.54267,,
5/30/2016 10:00,115,22.94335,28.14999,36.225,11.11001,11.29999,10.6,13.45956,,
5/30/2016 11:00,116,22.93167,28.19998,36.17497,11.46666,11.29999,10.62834,13.4285,,
5/30/2016 12:00,117,22.96834,28.19665,36.22498,12.02,11.27167,10.70001,13.41843,,
5/30/2016 13:00,118,22.80334,28.09999,36.19999,12.72667,11.20001,10.70001,13.4327,,
5/30/2016 14:00,119,22.73665,28.12499,36.225,13.61167,11.20001,10.70001,13.405,,
5/30/2016 15:00,120,22.55333,28.09999,36.19665,14.84001,11.20001,10.70001,13.39073,,
5/30/2016 16:00,121,22.49001,28.12499,36.12831,15.795,11.25333,10.70001,13.38317,,
5/30/2016 17:00,122,22.30001,28.09999,36.22502,16.17834,11.29999,10.70001,13.3815,,
5/30/2016 18:00,123,22.16834,28.09999,36.19998,16.09,11.35334,10.70001,13.37982,,
5/30/2016 19:00,124,22.10332,28.09999,36.19998,15.79,11.42833,10.70001,13.27405,,
5/30/2016 20:00,125,22.1,28.05,36.19665,15.38333,11.55333,10.70001,13.13386,,
5/30/2016 21:00,126,22.09667,28.07166,36.20001,14.90834,11.62834,10.70001,13.05831,,
5/30/2016 22:00,127,22.08166,28.05332,36.15331,14.30166,11.70334,10.70001,12.99955,,
5/30/2016 23:00,128,22.27834,28.07499,36.19998,13.57333,11.79999,10.70001,12.95506,,
5/31/2016 0:00,129,22.47833,28.07499,36.19998,12.88,11.79999,10.70001,12.91477,,
5/31/2016 1:00,130,22.50332,28.07499,36.19998,12.30832,11.85334,10.70001,12.87951,,
5/31/2016 2:00,131,22.65332,28.04666,36.17499,11.78333,11.9,10.70001,12.84593,,
5/31/2016 3:00,132,22.67499,28.02499,36.19998,11.25833,11.82166,10.77833,12.8132,,
5/31/2016 4:00,133,22.65332,28.02499,36.14665,10.83666,11.79999,10.79999,12.78549,,
5/31/2016 5:00,134,22.725,28.04999,36.12831,10.43666,11.74667,10.79999,12.741,,
5/31/2016 6:00,135,22.80333,28.02833,36.17497,10.03667,11.70001,10.79999,12.75863,,
5/31/2016 7:00,136,22.82501,28.07166,36.17499,9.690001,11.62166,10.79999,12.78214,,
5/31/2016 8:00,137,22.71832,28.05332,36.19665,9.41833,11.54667,10.79999,13.04908,,
5/31/2016 9:00,138,22.74998,28.04999,36.12166,9.381664,11.44667,10.85334,13.61402,,
5/31/2016 10:00,139,22.75333,28.025,36.15664,9.585004,11.34666,10.85,13.50993,,
5/31/2016 11:00,140,22.74665,28.07166,36.14997,10.02,11.27167,10.87167,13.4646,,
5/31/2016 12:00,141,22.56833,28.00333,36.19665,10.64834,11.19667,10.82833,13.44865,,
5/31/2016 13:00,142,22.39334,28.04999,36.14997,11.51167,11.1,10.89667,13.45285,,
5/31/2016 14:00,143,22.42167,28.02167,36.09999,12.8,11.1,10.82499,13.43354,,
5/31/2016 15:00,144,22.00834,28,36.15332,14.35334,11.1,10.79999,13.3966,,
5/31/2016 16:00,145,21.53,28,36.19998,15.72667,11.1,10.79999,13.36722,,
5/31/2016 17:00,146,21.25333,27.97167,36.14997,16.17834,11.1,10.79999,13.35799,,
5/31/2016 18:00,147,21.15,27.95334,36.12498,16.11832,11.17834,10.79999,13.33616,,
5/31/2016 19:00,148,21.065,27.94668,36.14331,15.83667,11.25333,10.79999,13.24634,,
5/31/2016 20:00,149,20.935,27.92834,36.12832,15.43667,11.35334,10.79999,13.15065,,
