Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp
5/29/2016 6:00,87,22.24998,29.40333,34.27499,10.63667,12.27167,11.5,12.73009
5/29/2016 7:00,88,22.15,29.40002,34.25,10.29,12.20001,11.5,12.78381
5/29/2016 8:00,89,22.12165,29.45334,34.25002,10.02167,12.12166,11.5,13.21864
5/29/2016 9:00,90,22.09999,29.47501,34.25,10.03166,12.09666,11.5,13.57792
5/29/2016 10:00,91,22.025,29.42502,34.25333,10.36666,12,11.5,13.46208
5/29/2016 11:00,92,21.97834,29.41835,34.27169,10.94834,11.94667,11.5,13.4327
5/29/2016 12:00,93,22.06833,29.40334,34.19998,11.69834,11.9,11.5,13.40584
5/29/2016 13:00,94,21.92168,29.37502,34.25,12.48333,11.82166,11.5,13.37898
5/29/2016 14:00,95,21.92167,29.35002,34.19998,13.59,11.79999,11.5,13.35044
5/29/2016 15:00,96,21.68999,29.39668,34.225,14.865,11.72167,11.5,13.32105
5/29/2016 16:00,97,21.465,29.35001,34.20332,15.96166,11.70001,11.44666,13.29587
5/29/2016 17:00,98,21.22499,29.40334,34.24664,16.89832,11.72833,11.4,13.29503
5/29/2016 18:00,99,21.3,29.40001,34.19998,17.37835,11.79999,11.4,13.34288
5/29/2016 19:00,100,21.09,29.32502,34.225,17.23666,11.85334,11.4,13.32022
5/29/2016 20:00,101,20.975,29.36835,34.19998,16.80499,11.90334,11.4,13.10364
5/29/2016 21:00,102,20.90001,29.26,34.19998,16.07333,12.00333,11.4,13.02222
5/29/2016 22:00,103,21.00666,29.29333,34.19998,15.32999,12.1,11.4,12.98108
5/29/2016 23:00,104,21.04667,29.29668,34.19998,14.83667,12.17834,11.4,12.94499
5/30/2016 0:00,105,21.05666,29.30668,34.19998,14.44,12.27833,11.4,12.91812
5/30/2016 1:00,106,21.19666,29.39669,34.19998,14.14,12.30333,11.40334,12.89042
5/30/2016 2:00,107,21.05334,29.30668,34.225,13.86499,12.40001,11.5,12.86524
5/30/2016 3:00,108,21.07501,29.35001,34.17499,13.615,12.40001,11.5,12.8367
5/30/2016 4:00,109,21.15333,29.36836,34.19998,13.23666,12.40001,11.5,12.80984
5/30/2016 5:00,110,21.17166,29.275,34.19998,12.84,12.40001,11.52833,12.79221
5/30/2016 6:00,111,21.12167,29.32834,34.19998,12.54001,12.40001,11.6,12.77794
5/30/2016 7:00,112,21.20332,29.32168,34.17165,12.23999,12.40001,11.6,12.81236
5/30/2016 8:00,113,21.24998,29.28167,34.17831,11.96834,12.40001,11.6,12.97856
5/30/2016 9:00,114,21.22834,29.37169,34.19998,11.92833,12.40001,11.6,13.4604
5/30/2016 10:00,115,21.14666,29.37168,34.19998,12.16333,12.39667,11.6,13.39828
5/30/2016 11:00,116,21.17834,29.27502,34.19998,12.69834,12.29999,11.6,13.37814
5/30/2016 12:00,117,21.08999,29.34667,34.19665,13.53334,12.29999,11.6,13.37646
5/30/2016 13:00,118,20.95001,29.32835,34.17831,14.55834,12.29666,11.6,13.3731
5/30/2016 14:00,119,20.84333,29.31835,34.17498,15.455,12.20001,11.6,13.34792
5/30/2016 15:00,120,20.66499,29.28502,34.19665,16.37666,12.20001,11.6,13.33029
5/30/2016 16:00,121,20.39334,29.35002,34.14999,17.095,12.25333,11.6,13.32189
5/30/2016 17:00,122,20.16167,29.35001,34.15332,17.64167,12.29999,11.6,13.3177
5/30/2016 18:00,123,19.84667,29.34668,34.19998,17.89668,12.32834,11.6,13.33113
5/30/2016 19:00,124,19.76834,29.27167,34.12165,17.71499,12.40001,11.6,13.27405
5/30/2016 20:00,125,19.68166,29.30335,34.12498,17.255,12.47833,11.6,13.11203
5/30/2016 21:00,126,19.72166,29.24998,34.12498,16.655,12.57833,11.62834,13.02222
5/30/2016 22:00,127,19.67833,29.25001,34.14999,15.97334,12.65334,11.67501,12.96429
5/30/2016 23:00,128,19.62167,29.24664,34.09998,15.17334,12.72833,11.70001,12.91645
5/31/2016 0:00,129,19.65334,29.28168,34.10332,14.40167,12.79999,11.70001,12.8728
5/31/2016 1:00,130,19.725,29.31834,34.14664,13.73,12.82834,11.70001,12.83922
5/31/2016 2:00,131,19.7,29.20334,34.09998,13.18,12.90001,11.70334,12.8048
5/31/2016 3:00,132,19.8,29.275,34.09998,12.60834,12.90001,11.79999,12.77542
5/31/2016 4:00,133,19.88167,29.30002,34.10332,12.13334,12.90001,11.79999,12.75191
5/31/2016 5:00,134,19.865,29.24666,34.09666,11.63667,12.87166,11.79999,12.7368
5/31/2016 6:00,135,19.85,29.25336,34.09998,11.23666,12.79999,11.79999,12.72421
5/31/2016 7:00,136,19.69333,29.27499,34.09998,10.83666,12.77167,11.85334,12.76703
5/31/2016 8:00,137,19.81334,29.275,34.1,10.49334,12.70001,11.9,13.1389
5/31/2016 9:00,138,19.92834,29.32168,34.09998,10.45667,12.64666,11.9,13.53427
5/31/2016 10:00,139,19.81499,29.25002,34.07499,10.71334,12.57167,11.9,13.44949
5/31/2016 11:00,140,19.68666,29.22499,34.07499,11.32666,12.49667,11.9,13.41507
5/31/2016 12:00,141,19.27167,29.22498,34.09665,12.155,12.40001,11.9,13.4092
5/31/2016 13:00,142,19.19332,29.22498,34.07498,13.18999,12.34666,11.9,13.4092
5/31/2016 14:00,143,18.90501,29.27501,34.07498,14.39,12.29999,11.84666,13.37394
5/31/2016 15:00,144,18.525,29.25,34.05332,15.51167,12.27167,11.82499,13.33197
5/31/2016 16:00,145,18.40001,29.19999,34.07499,16.52666,12.20334,11.79999,13.30175
5/31/2016 17:00,146,18.34667,29.22498,34.05,17.29501,12.25,11.79999,13.28832
5/31/2016 18:00,147,18.37501,29.24999,34.05,17.785,12.29999,11.79999,13.3093
5/31/2016 19:00,148,18.32167,29.22168,34.04666,17.73666,12.35334,11.79999,13.25054
5/31/2016 20:00,149,18.25333,29.17832,34.04999,17.30832,12.42833,11.79999,13.1389
5/31/2016 21:00,150,18.25,29.17165,34.00333,16.755,12.50333,11.79999,13.04572
5/31/2016 22:00,151,18.27166,29.17498,34.02167,16.07333,12.59999,11.79999,12.98108
5/31/2016 23:00,152,18.2,29.12831,34.02833,15.27333,12.65334,11.79999,12.93323
6/1/2016 0:00,153,18.22832,29.19665,34.02167,14.53,12.70334,11.79999,12.89462
6/1/2016 1:00,154,18.16833,29.15331,34,13.90167,12.79999,11.79999,12.85852
6/1/2016 2:00,155,18.15332,29.19999,34.04999,13.28,12.79999,11.79999,12.82243
6/1/2016 3:00,156,18.14666,29.17164,34,12.68333,12.79999,11.82834,12.78969
6/1/2016 4:00,157,18.15333,29.22835,34.02499,12.18333,12.79999,11.9,12.76787
6/1/2016 5:00,158,18.17167,29.19665,34,11.65834,12.79999,11.9,12.74604
6/1/2016 6:00,159,18.17501,29.17832,34.02499,11.23666,12.79999,11.9,12.73093
6/1/2016 7:00,160,18.15667,29.14998,34,10.83666,12.72167,11.9,12.7729
6/1/2016 8:00,161,18.25,29.19999,33.99667,10.54667,12.70001,11.9,13.11539
6/1/2016 9:00,162,18.22166,29.19999,33.975,10.53166,12.62166,11.9,13.49482
6/1/2016 10:00,163,18.22499,29.17499,33.95334,10.86666,12.57167,11.9,13.41927
6/1/2016 11:00,164,18.17499,29.12165,33.97501,11.44834,12.5,11.9,13.38317
6/1/2016 12:00,165,18.17834,29.15332,34,12.33667,12.42167,11.9,13.37562
6/1/2016 13:00,166,18.11833,29.14666,33.95001,13.49,12.34666,11.9,13.3689
6/1/2016 14:00,167,18.09666,29.14998,33.975,14.68999,12.29999,11.9,13.34204
6/1/2016 15:00,168,18.07832,29.12832,33.92168,15.96833,12.29999,11.9,13.31098
6/1/2016 16:00,169,18.15333,29.14332,33.95,17.10501,12.29999,11.9,13.29251
6/1/2016 17:00,170,18.11834,29.08165,33.95,17.89499,12.29999,11.9,13.28748
6/1/2016 18:00,171,18.05,29.08999,33.92501,18.27833,12.30333,11.89667,13.28412
6/1/2016 19:00,172,18.00333,28.98166,33.92501,18.21499,12.40001,11.79999,13.24802
6/1/2016 20:00,173,18.02167,29.04999,33.92501,17.80832,12.47833,11.79999,13.12798
6/1/2016 21:00,174,17.99667,29.04333,33.92834,17.255,12.57833,11.79999,13.0474
